Place,Type_of_Crime,Year
Guindy,Chain Snatching / Theft,2025
Koyambedu,Kidnapping / Abduction,2021
Urapakkam,Theft / Robbery,2021
Porur,Rape / Sexual Assault,2024
Tambaram,Theft / Robbery,2026
Ashok Nagar,Theft / Robbery,2023
Mylapore,Assault / Attack,2022
Chepauk,Harassment / Cyber‑crime,2024
Guindy,Rape / Sexual Assault,2026
Egmore,Murder,2025
Guindy,Theft / Robbery,2026
Alandur,Harassment / Cyber‑crime,2020
Koyambedu,Theft / Robbery,2021
Koyambedu,Harassment / Cyber‑crime,2024
T Nagar,Theft / Robbery,2025
Velachery,Chain Snatching / Theft,2022
Chepauk,Chain Snatching / Theft,2022
Tambaram,Theft / Robbery,2025
Saidapet,Theft / Robbery,2020
Guindy,Assault / Attack,2023
Medavakkam,Theft / Robbery,2024
T Nagar,Harassment / Cyber‑crime,2024
Alandur,Chain Snatching / Theft,2025
Alandur,Harassment / Cyber‑crime,2023
Saidapet,Chain Snatching / Theft,2024
Mambalam,Theft / Robbery,2024
Koyambedu,Theft / Robbery,2024
Besant Nagar,Harassment / Cyber‑crime,2024
Koyambedu,Theft / Robbery,2022
Vadapalani,Harassment / Cyber‑crime,2020
Thiruvanmiyur,Theft / Robbery,2021
Kodambakkam,Rape / Sexual Assault,2022
Nungambakkam,Other Crime,2024
Alandur,Theft / Robbery,2025
Velachery,Other Crime,2025
Medavakkam,Other Crime,2025
Teynampet,Kidnapping / Abduction,2023
Adyar,Harassment / Cyber‑crime,2023
Besant Nagar,Assault / Attack,2023
Koyambedu,Chain Snatching / Theft,2021
Ashok Nagar,Theft / Robbery,2020
Vadapalani,Assault / Attack,2024
Tambaram,Harassment / Cyber‑crime,2026
Chetpet,Assault / Attack,2021
Kodambakkam,Assault / Attack,2020
Kodambakkam,Theft / Robbery,2025
Besant Nagar,Assault / Attack,2022
Thiruvanmiyur,Chain Snatching / Theft,2025
Urapakkam,Theft / Robbery,2025
Teynampet,Chain Snatching / Theft,2026
Pallavaram,Harassment / Cyber‑crime,2023
Nungambakkam,Chain Snatching / Theft,2024
Egmore,Assault / Attack,2023
Purasawalkam,Kidnapping / Abduction,2024
Koyambedu,Murder,2023
Porur,Chain Snatching / Theft,2021
Anna Nagar,Murder,2024
Teynampet,Chain Snatching / Theft,2024
Egmore,Other Crime,2025
Koyambedu,Theft / Robbery,2025
Purasawalkam,Theft / Robbery,2024
Alandur,Kidnapping / Abduction,2021
Chromepet,Theft / Robbery,2025
Mambalam,Chain Snatching / Theft,2024
Chromepet,Rape / Sexual Assault,2025
Guindy,Rape / Sexual Assault,2026
Egmore,Other Crime,2020
Medavakkam,Harassment / Cyber‑crime,2025
Chepauk,Chain Snatching / Theft,2020
Koyambedu,Theft / Robbery,2023
Mylapore,Harassment / Cyber‑crime,2024
Saidapet,Assault / Attack,2021
Velachery,Harassment / Cyber‑crime,2025
Tambaram,Harassment / Cyber‑crime,2020
Urapakkam,Assault / Attack,2021
Teynampet,Assault / Attack,2024
Kodambakkam,Theft / Robbery,2025
Mambalam,Kidnapping / Abduction,2026
Egmore,Theft / Robbery,2025
Medavakkam,Harassment / Cyber‑crime,2024
Medavakkam,Theft / Robbery,2023
Perambur,Harassment / Cyber‑crime,2020
Urapakkam,Harassment / Cyber‑crime,2021
Adyar,Theft / Robbery,2024
Porur,Rape / Sexual Assault,2024
Royapettah,Rape / Sexual Assault,2023
Nungambakkam,Harassment / Cyber‑crime,2025
Sholinganallur,Chain Snatching / Theft,2024
Nungambakkam,Murder,2020
Pallavaram,Harassment / Cyber‑crime,2021
Nungambakkam,Theft / Robbery,2025
Alandur,Assault / Attack,2025
Chromepet,Chain Snatching / Theft,2025
Anna Nagar,Theft / Robbery,2021
Royapettah,Assault / Attack,2026
Chromepet,Murder,2022
Kodambakkam,Rape / Sexual Assault,2020
Royapettah,Theft / Robbery,2026
T Nagar,Murder,2022
Royapettah,Harassment / Cyber‑crime,2024
Ashok Nagar,Assault / Attack,2021
Chepauk,Assault / Attack,2024
Alandur,Theft / Robbery,2026
Pallavaram,Theft / Robbery,2022
Pallavaram,Harassment / Cyber‑crime,2024
Purasawalkam,Other Crime,2021
Perambur,Rape / Sexual Assault,2024
Porur,Chain Snatching / Theft,2022
Anna Nagar,Assault / Attack,2022
Nungambakkam,Assault / Attack,2022
Alandur,Assault / Attack,2021
Mylapore,Rape / Sexual Assault,2026
Sholinganallur,Rape / Sexual Assault,2023
Porur,Harassment / Cyber‑crime,2022
Anna Nagar,Theft / Robbery,2023
Teynampet,Chain Snatching / Theft,2022
Porur,Assault / Attack,2025
Besant Nagar,Rape / Sexual Assault,2026
T Nagar,Harassment / Cyber‑crime,2023
Velachery,Theft / Robbery,2025
Perambur,Assault / Attack,2024
Perambur,Harassment / Cyber‑crime,2021
Tambaram,Chain Snatching / Theft,2024
Besant Nagar,Kidnapping / Abduction,2024
Ashok Nagar,Harassment / Cyber‑crime,2024
Chetpet,Harassment / Cyber‑crime,2025
Ashok Nagar,Chain Snatching / Theft,2023
Egmore,Theft / Robbery,2026
Purasawalkam,Murder,2025
Egmore,Theft / Robbery,2023
Porur,Theft / Robbery,2024
Nungambakkam,Harassment / Cyber‑crime,2022
Chromepet,Harassment / Cyber‑crime,2026
Mylapore,Assault / Attack,2024
Koyambedu,Murder,2020
Mambalam,Harassment / Cyber‑crime,2022
Teynampet,Theft / Robbery,2024
Perambur,Harassment / Cyber‑crime,2020
Chetpet,Assault / Attack,2020
Porur,Theft / Robbery,2023
Porur,Rape / Sexual Assault,2022
Besant Nagar,Rape / Sexual Assault,2023
Sholinganallur,Chain Snatching / Theft,2022
Egmore,Chain Snatching / Theft,2021
Perambur,Harassment / Cyber‑crime,2024
Purasawalkam,Rape / Sexual Assault,2024
Sholinganallur,Assault / Attack,2022
Royapettah,Harassment / Cyber‑crime,2022
Besant Nagar,Kidnapping / Abduction,2024
Alandur,Rape / Sexual Assault,2020
Mylapore,Murder,2021
Chromepet,Harassment / Cyber‑crime,2020
Urapakkam,Theft / Robbery,2025
Anna Nagar,Theft / Robbery,2025
Chepauk,Murder,2025
Medavakkam,Assault / Attack,2025
Porur,Chain Snatching / Theft,2024
Thiruvanmiyur,Other Crime,2023
Perambur,Assault / Attack,2024
Saidapet,Assault / Attack,2020
Adyar,Rape / Sexual Assault,2024
Alandur,Assault / Attack,2025
Sholinganallur,Theft / Robbery,2024
Velachery,Harassment / Cyber‑crime,2023
Tambaram,Theft / Robbery,2022
Vadapalani,Theft / Robbery,2024
Adyar,Rape / Sexual Assault,2024
Mylapore,Theft / Robbery,2025
Alandur,Rape / Sexual Assault,2022
T Nagar,Theft / Robbery,2025
Ashok Nagar,Other Crime,2024
Medavakkam,Assault / Attack,2025
Velachery,Assault / Attack,2024
Perambur,Chain Snatching / Theft,2024
Egmore,Other Crime,2024
Porur,Assault / Attack,2025
Mylapore,Chain Snatching / Theft,2026
Chromepet,Theft / Robbery,2020
Vadapalani,Theft / Robbery,2020
Chepauk,Assault / Attack,2026
Anna Nagar,Harassment / Cyber‑crime,2024
Pallavaram,Harassment / Cyber‑crime,2024
Perambur,Theft / Robbery,2023
Anna Nagar,Rape / Sexual Assault,2020
Saidapet,Harassment / Cyber‑crime,2025
Alandur,Rape / Sexual Assault,2025
Guindy,Assault / Attack,2022
Medavakkam,Harassment / Cyber‑crime,2022
Purasawalkam,Harassment / Cyber‑crime,2025
Vadapalani,Kidnapping / Abduction,2020
Chromepet,Chain Snatching / Theft,2025
Porur,Assault / Attack,2022
Thiruvanmiyur,Harassment / Cyber‑crime,2024
Guindy,Harassment / Cyber‑crime,2026
Perambur,Theft / Robbery,2024
Alandur,Murder,2023
Purasawalkam,Theft / Robbery,2024
Pallavaram,Assault / Attack,2022
Sholinganallur,Harassment / Cyber‑crime,2022
Teynampet,Chain Snatching / Theft,2026
Mylapore,Theft / Robbery,2025
Porur,Rape / Sexual Assault,2024
Anna Nagar,Other Crime,2023
Thiruvanmiyur,Rape / Sexual Assault,2020
Chepauk,Assault / Attack,2020
Medavakkam,Assault / Attack,2024
Ashok Nagar,Assault / Attack,2025
Mylapore,Rape / Sexual Assault,2024
Sholinganallur,Rape / Sexual Assault,2025
Purasawalkam,Rape / Sexual Assault,2020
Perambur,Assault / Attack,2023
Vadapalani,Assault / Attack,2022
Urapakkam,Theft / Robbery,2023
Purasawalkam,Harassment / Cyber‑crime,2020
Teynampet,Chain Snatching / Theft,2026
Chromepet,Murder,2022
Urapakkam,Assault / Attack,2026
Anna Nagar,Harassment / Cyber‑crime,2023
Sholinganallur,Theft / Robbery,2026
Nungambakkam,Theft / Robbery,2024
Mambalam,Harassment / Cyber‑crime,2026
Velachery,Chain Snatching / Theft,2020
Saidapet,Chain Snatching / Theft,2025
Vadapalani,Assault / Attack,2026
Medavakkam,Harassment / Cyber‑crime,2021
Royapettah,Theft / Robbery,2020
Royapettah,Harassment / Cyber‑crime,2023
Thiruvanmiyur,Assault / Attack,2026
Thiruvanmiyur,Theft / Robbery,2024
Egmore,Harassment / Cyber‑crime,2024
Chepauk,Assault / Attack,2021
Guindy,Theft / Robbery,2020
Besant Nagar,Chain Snatching / Theft,2025
Koyambedu,Murder,2020
Chromepet,Theft / Robbery,2024
Guindy,Rape / Sexual Assault,2026
Thiruvanmiyur,Kidnapping / Abduction,2022
Pallavaram,Harassment / Cyber‑crime,2024
Urapakkam,Theft / Robbery,2020
Pallavaram,Harassment / Cyber‑crime,2024
Purasawalkam,Theft / Robbery,2021
Perambur,Kidnapping / Abduction,2025
Velachery,Assault / Attack,2022
Besant Nagar,Assault / Attack,2023
Koyambedu,Chain Snatching / Theft,2024
Vadapalani,Theft / Robbery,2021
T Nagar,Rape / Sexual Assault,2025
Medavakkam,Assault / Attack,2022
Velachery,Other Crime,2024
Mambalam,Theft / Robbery,2021
Guindy,Rape / Sexual Assault,2024
Besant Nagar,Theft / Robbery,2021
Royapettah,Assault / Attack,2023
Tambaram,Theft / Robbery,2022
Chepauk,Harassment / Cyber‑crime,2025
Mambalam,Other Crime,2022
Chromepet,Assault / Attack,2025
Anna Nagar,Theft / Robbery,2025
Vadapalani,Assault / Attack,2021
Purasawalkam,Rape / Sexual Assault,2024
Perambur,Chain Snatching / Theft,2020
Saidapet,Assault / Attack,2023
Royapettah,Theft / Robbery,2025
Royapettah,Harassment / Cyber‑crime,2024
Medavakkam,Assault / Attack,2024
Sholinganallur,Harassment / Cyber‑crime,2022
T Nagar,Rape / Sexual Assault,2023
Kodambakkam,Chain Snatching / Theft,2021
Guindy,Chain Snatching / Theft,2025
Pallavaram,Harassment / Cyber‑crime,2024
Medavakkam,Other Crime,2025
T Nagar,Theft / Robbery,2022
Egmore,Assault / Attack,2022
T Nagar,Harassment / Cyber‑crime,2022
T Nagar,Assault / Attack,2020
Mambalam,Assault / Attack,2022
Koyambedu,Theft / Robbery,2025
Urapakkam,Rape / Sexual Assault,2025
T Nagar,Theft / Robbery,2024
Koyambedu,Theft / Robbery,2023
Sholinganallur,Harassment / Cyber‑crime,2020
Ashok Nagar,Theft / Robbery,2025
Royapettah,Rape / Sexual Assault,2020
Teynampet,Assault / Attack,2026
Egmore,Assault / Attack,2023
Velachery,Chain Snatching / Theft,2022
Teynampet,Assault / Attack,2026
Ashok Nagar,Theft / Robbery,2020
Purasawalkam,Chain Snatching / Theft,2024
Ashok Nagar,Assault / Attack,2024
Pallavaram,Rape / Sexual Assault,2022
Perambur,Assault / Attack,2023
Egmore,Chain Snatching / Theft,2024
Kodambakkam,Theft / Robbery,2025
Chetpet,Theft / Robbery,2020
Anna Nagar,Rape / Sexual Assault,2026
Chromepet,Theft / Robbery,2021
Guindy,Assault / Attack,2022
Besant Nagar,Assault / Attack,2022
Porur,Rape / Sexual Assault,2020
Mylapore,Chain Snatching / Theft,2021
Alandur,Kidnapping / Abduction,2026
Velachery,Assault / Attack,2022
Mambalam,Chain Snatching / Theft,2021
Velachery,Rape / Sexual Assault,2021
Mambalam,Assault / Attack,2025
Teynampet,Harassment / Cyber‑crime,2025
Mambalam,Chain Snatching / Theft,2022
Pallavaram,Kidnapping / Abduction,2020
Anna Nagar,Theft / Robbery,2022
Guindy,Chain Snatching / Theft,2020
Guindy,Rape / Sexual Assault,2021
Pallavaram,Chain Snatching / Theft,2023
Medavakkam,Other Crime,2022
Urapakkam,Theft / Robbery,2024
Sholinganallur,Harassment / Cyber‑crime,2022
Urapakkam,Murder,2026
Perambur,Assault / Attack,2026
Alandur,Assault / Attack,2024
Teynampet,Assault / Attack,2023
Besant Nagar,Chain Snatching / Theft,2023
Sholinganallur,Harassment / Cyber‑crime,2023
Saidapet,Assault / Attack,2025
Nungambakkam,Chain Snatching / Theft,2023
Velachery,Other Crime,2025
Ashok Nagar,Murder,2026
Royapettah,Other Crime,2022
Ashok Nagar,Rape / Sexual Assault,2024
Mylapore,Chain Snatching / Theft,2020
Mambalam,Theft / Robbery,2022
Medavakkam,Rape / Sexual Assault,2023
Kodambakkam,Assault / Attack,2022
Purasawalkam,Harassment / Cyber‑crime,2025
Besant Nagar,Theft / Robbery,2021
Pallavaram,Rape / Sexual Assault,2023
Royapettah,Assault / Attack,2024
Anna Nagar,Chain Snatching / Theft,2024
Chetpet,Theft / Robbery,2023
Anna Nagar,Theft / Robbery,2025
Koyambedu,Assault / Attack,2024
Vadapalani,Murder,2023
Koyambedu,Chain Snatching / Theft,2020
Tambaram,Chain Snatching / Theft,2023
Ashok Nagar,Assault / Attack,2025
Tambaram,Theft / Robbery,2024
Chetpet,Kidnapping / Abduction,2025
Purasawalkam,Assault / Attack,2023
Nungambakkam,Chain Snatching / Theft,2021
Koyambedu,Harassment / Cyber‑crime,2020
Guindy,Kidnapping / Abduction,2022
Porur,Assault / Attack,2024
Chetpet,Assault / Attack,2025
Thiruvanmiyur,Other Crime,2022
Chetpet,Assault / Attack,2023
Tambaram,Harassment / Cyber‑crime,2023
Anna Nagar,Theft / Robbery,2023
Pallavaram,Harassment / Cyber‑crime,2022
Velachery,Assault / Attack,2021
Pallavaram,Theft / Robbery,2021
Tambaram,Rape / Sexual Assault,2020
Royapettah,Harassment / Cyber‑crime,2021
Adyar,Kidnapping / Abduction,2020
Chepauk,Assault / Attack,2024
Mambalam,Theft / Robbery,2022
Alandur,Harassment / Cyber‑crime,2026
Mylapore,Rape / Sexual Assault,2021
Medavakkam,Assault / Attack,2022
Kodambakkam,Theft / Robbery,2023
Tambaram,Theft / Robbery,2020
Mylapore,Theft / Robbery,2025
Porur,Theft / Robbery,2020
Porur,Rape / Sexual Assault,2026
Royapettah,Theft / Robbery,2025
Perambur,Assault / Attack,2024
T Nagar,Assault / Attack,2024
Teynampet,Theft / Robbery,2024
Anna Nagar,Chain Snatching / Theft,2023
Chromepet,Rape / Sexual Assault,2024
Urapakkam,Assault / Attack,2020
Thiruvanmiyur,Rape / Sexual Assault,2020
Ashok Nagar,Rape / Sexual Assault,2023
Porur,Assault / Attack,2024
Chepauk,Assault / Attack,2025
Sholinganallur,Chain Snatching / Theft,2021
Adyar,Assault / Attack,2025
Nungambakkam,Other Crime,2022
Medavakkam,Murder,2023
Anna Nagar,Rape / Sexual Assault,2022
Urapakkam,Murder,2023
Sholinganallur,Theft / Robbery,2021
Medavakkam,Assault / Attack,2024
Chepauk,Harassment / Cyber‑crime,2025
Pallavaram,Murder,2023
Chromepet,Chain Snatching / Theft,2023
Tambaram,Chain Snatching / Theft,2025
Mambalam,Theft / Robbery,2025
Nungambakkam,Rape / Sexual Assault,2023
Ashok Nagar,Theft / Robbery,2022
Thiruvanmiyur,Rape / Sexual Assault,2025
Egmore,Rape / Sexual Assault,2024
Nungambakkam,Assault / Attack,2022
Egmore,Theft / Robbery,2022
Perambur,Theft / Robbery,2025
Egmore,Other Crime,2020
Nungambakkam,Harassment / Cyber‑crime,2026
Velachery,Chain Snatching / Theft,2021
Teynampet,Rape / Sexual Assault,2025
Kodambakkam,Theft / Robbery,2023
Tambaram,Assault / Attack,2023
Tambaram,Rape / Sexual Assault,2025
Ashok Nagar,Murder,2023
Royapettah,Harassment / Cyber‑crime,2024
Porur,Harassment / Cyber‑crime,2020
Anna Nagar,Assault / Attack,2020
Mylapore,Assault / Attack,2022
Koyambedu,Assault / Attack,2024
Pallavaram,Murder,2021
Guindy,Theft / Robbery,2021
Thiruvanmiyur,Theft / Robbery,2023
Perambur,Rape / Sexual Assault,2024
T Nagar,Other Crime,2025
Mylapore,Assault / Attack,2021
Ashok Nagar,Harassment / Cyber‑crime,2020
Guindy,Theft / Robbery,2026
Nungambakkam,Theft / Robbery,2022
Saidapet,Theft / Robbery,2025
Urapakkam,Rape / Sexual Assault,2025
Chetpet,Theft / Robbery,2025
Kodambakkam,Kidnapping / Abduction,2021
Anna Nagar,Harassment / Cyber‑crime,2025
Purasawalkam,Assault / Attack,2025
Purasawalkam,Assault / Attack,2024
Egmore,Chain Snatching / Theft,2022
Chetpet,Rape / Sexual Assault,2022
Adyar,Theft / Robbery,2021
Adyar,Theft / Robbery,2024
Velachery,Kidnapping / Abduction,2024
Koyambedu,Other Crime,2023
Mambalam,Theft / Robbery,2023
Urapakkam,Chain Snatching / Theft,2023
Royapettah,Chain Snatching / Theft,2024
Medavakkam,Theft / Robbery,2026
Porur,Theft / Robbery,2021
Perambur,Assault / Attack,2023
Purasawalkam,Other Crime,2021
Chepauk,Theft / Robbery,2024
Teynampet,Kidnapping / Abduction,2025
Vadapalani,Theft / Robbery,2026
Sholinganallur,Harassment / Cyber‑crime,2022
Egmore,Assault / Attack,2026
Teynampet,Assault / Attack,2020
Velachery,Chain Snatching / Theft,2024
Chromepet,Chain Snatching / Theft,2020
Alandur,Chain Snatching / Theft,2025
Vadapalani,Rape / Sexual Assault,2024
Vadapalani,Harassment / Cyber‑crime,2024
Medavakkam,Rape / Sexual Assault,2025
Egmore,Assault / Attack,2021
Mylapore,Assault / Attack,2020
Adyar,Assault / Attack,2025
Adyar,Assault / Attack,2022
T Nagar,Other Crime,2021
Guindy,Rape / Sexual Assault,2023
Anna Nagar,Harassment / Cyber‑crime,2024
Chepauk,Theft / Robbery,2020
Nungambakkam,Rape / Sexual Assault,2022
Koyambedu,Theft / Robbery,2020
Chetpet,Chain Snatching / Theft,2023
Perambur,Chain Snatching / Theft,2025
Besant Nagar,Chain Snatching / Theft,2026
Kodambakkam,Other Crime,2024
Mylapore,Theft / Robbery,2021
Royapettah,Theft / Robbery,2026
Purasawalkam,Harassment / Cyber‑crime,2024
Saidapet,Assault / Attack,2021
Kodambakkam,Assault / Attack,2026
Porur,Theft / Robbery,2025
Kodambakkam,Assault / Attack,2025
Anna Nagar,Assault / Attack,2025
Urapakkam,Theft / Robbery,2022
Mambalam,Assault / Attack,2022
T Nagar,Assault / Attack,2024
Adyar,Assault / Attack,2022
Sholinganallur,Theft / Robbery,2023
Guindy,Harassment / Cyber‑crime,2025
Besant Nagar,Murder,2025
Anna Nagar,Theft / Robbery,2023
T Nagar,Kidnapping / Abduction,2025
Vadapalani,Assault / Attack,2025
Royapettah,Theft / Robbery,2024
Sholinganallur,Harassment / Cyber‑crime,2022
Medavakkam,Assault / Attack,2022
Vadapalani,Kidnapping / Abduction,2022
Besant Nagar,Harassment / Cyber‑crime,2021
Adyar,Harassment / Cyber‑crime,2022
Perambur,Assault / Attack,2022
Adyar,Rape / Sexual Assault,2023
Anna Nagar,Theft / Robbery,2026
Adyar,Assault / Attack,2021
Chromepet,Assault / Attack,2025
Chromepet,Assault / Attack,2024
Chepauk,Theft / Robbery,2020
Anna Nagar,Murder,2026
Chepauk,Assault / Attack,2024
Medavakkam,Theft / Robbery,2023
Perambur,Harassment / Cyber‑crime,2025
Perambur,Murder,2022
Velachery,Assault / Attack,2024
Anna Nagar,Chain Snatching / Theft,2020
Alandur,Theft / Robbery,2025
Porur,Assault / Attack,2023
Sholinganallur,Rape / Sexual Assault,2024
Pallavaram,Harassment / Cyber‑crime,2022
Purasawalkam,Assault / Attack,2024
Egmore,Assault / Attack,2025
Mambalam,Assault / Attack,2023
Adyar,Chain Snatching / Theft,2024
Sholinganallur,Theft / Robbery,2023
Ashok Nagar,Murder,2025
Porur,Chain Snatching / Theft,2023
T Nagar,Assault / Attack,2025
Chetpet,Chain Snatching / Theft,2025
Mylapore,Assault / Attack,2023
Velachery,Chain Snatching / Theft,2022
Adyar,Assault / Attack,2023
Thiruvanmiyur,Harassment / Cyber‑crime,2025
Alandur,Chain Snatching / Theft,2022
Adyar,Assault / Attack,2024
T Nagar,Theft / Robbery,2025
Chromepet,Theft / Robbery,2023
Tambaram,Theft / Robbery,2024
Purasawalkam,Theft / Robbery,2022
Anna Nagar,Theft / Robbery,2021
Kodambakkam,Assault / Attack,2025
Sholinganallur,Assault / Attack,2020
Thiruvanmiyur,Assault / Attack,2022
Pallavaram,Harassment / Cyber‑crime,2025
Chepauk,Rape / Sexual Assault,2022
Alandur,Rape / Sexual Assault,2026
Besant Nagar,Theft / Robbery,2026
Urapakkam,Assault / Attack,2022
Egmore,Theft / Robbery,2020
Vadapalani,Theft / Robbery,2025
Pallavaram,Assault / Attack,2023
Porur,Chain Snatching / Theft,2021
Vadapalani,Murder,2025
Teynampet,Harassment / Cyber‑crime,2020
Chepauk,Harassment / Cyber‑crime,2025
Perambur,Kidnapping / Abduction,2021
Besant Nagar,Chain Snatching / Theft,2021
Pallavaram,Murder,2021
Chetpet,Theft / Robbery,2026
Anna Nagar,Chain Snatching / Theft,2024
Velachery,Assault / Attack,2025
Sholinganallur,Assault / Attack,2023
Chetpet,Harassment / Cyber‑crime,2022
Urapakkam,Harassment / Cyber‑crime,2022
Koyambedu,Chain Snatching / Theft,2023
Sholinganallur,Other Crime,2024
Saidapet,Harassment / Cyber‑crime,2024
Pallavaram,Theft / Robbery,2022
Kodambakkam,Chain Snatching / Theft,2026
Medavakkam,Murder,2021
Chetpet,Theft / Robbery,2026
Guindy,Chain Snatching / Theft,2020
Pallavaram,Theft / Robbery,2023
Thiruvanmiyur,Theft / Robbery,2022
T Nagar,Rape / Sexual Assault,2023
Chetpet,Chain Snatching / Theft,2024
Guindy,Assault / Attack,2023
Porur,Harassment / Cyber‑crime,2023
Velachery,Theft / Robbery,2025
Adyar,Kidnapping / Abduction,2024
Perambur,Kidnapping / Abduction,2025
Royapettah,Theft / Robbery,2022
Perambur,Assault / Attack,2024
Egmore,Theft / Robbery,2024
T Nagar,Other Crime,2023
Chetpet,Harassment / Cyber‑crime,2023
Chetpet,Chain Snatching / Theft,2022
Ashok Nagar,Theft / Robbery,2021
Besant Nagar,Kidnapping / Abduction,2022
Kodambakkam,Kidnapping / Abduction,2021
Urapakkam,Harassment / Cyber‑crime,2024
Pallavaram,Other Crime,2024
Pallavaram,Theft / Robbery,2026
Chromepet,Rape / Sexual Assault,2025
Ashok Nagar,Harassment / Cyber‑crime,2020
Guindy,Harassment / Cyber‑crime,2025
Perambur,Assault / Attack,2025
Guindy,Theft / Robbery,2023
Chromepet,Assault / Attack,2024
Anna Nagar,Theft / Robbery,2026
Alandur,Assault / Attack,2024
Guindy,Harassment / Cyber‑crime,2026
Vadapalani,Harassment / Cyber‑crime,2020
Purasawalkam,Theft / Robbery,2021
Nungambakkam,Assault / Attack,2023
T Nagar,Theft / Robbery,2024
T Nagar,Theft / Robbery,2025
Tambaram,Kidnapping / Abduction,2026
Saidapet,Chain Snatching / Theft,2023
Purasawalkam,Theft / Robbery,2020
Thiruvanmiyur,Kidnapping / Abduction,2025
Saidapet,Chain Snatching / Theft,2024
Adyar,Chain Snatching / Theft,2021
Mambalam,Theft / Robbery,2023
Ashok Nagar,Other Crime,2025
Urapakkam,Theft / Robbery,2025
Medavakkam,Theft / Robbery,2023
Egmore,Rape / Sexual Assault,2022
Pallavaram,Assault / Attack,2026
Velachery,Rape / Sexual Assault,2024
Mambalam,Theft / Robbery,2023
T Nagar,Theft / Robbery,2022
Mambalam,Chain Snatching / Theft,2025
Vadapalani,Chain Snatching / Theft,2022
Saidapet,Theft / Robbery,2021
Koyambedu,Chain Snatching / Theft,2024
Mambalam,Chain Snatching / Theft,2022
Thiruvanmiyur,Kidnapping / Abduction,2024
Koyambedu,Rape / Sexual Assault,2021
Mambalam,Harassment / Cyber‑crime,2024
Besant Nagar,Chain Snatching / Theft,2022
Nungambakkam,Harassment / Cyber‑crime,2020
Egmore,Theft / Robbery,2021
Porur,Assault / Attack,2026
Velachery,Harassment / Cyber‑crime,2025
Purasawalkam,Assault / Attack,2022
Nungambakkam,Rape / Sexual Assault,2025
Velachery,Theft / Robbery,2024
Tambaram,Chain Snatching / Theft,2026
Velachery,Chain Snatching / Theft,2023
Egmore,Rape / Sexual Assault,2024
Pallavaram,Other Crime,2020
Koyambedu,Theft / Robbery,2023
Mambalam,Harassment / Cyber‑crime,2026
Chetpet,Kidnapping / Abduction,2024
Tambaram,Chain Snatching / Theft,2022
Koyambedu,Chain Snatching / Theft,2021
Besant Nagar,Theft / Robbery,2025
T Nagar,Chain Snatching / Theft,2024
Chepauk,Rape / Sexual Assault,2023
Urapakkam,Harassment / Cyber‑crime,2026
Royapettah,Harassment / Cyber‑crime,2020
Teynampet,Harassment / Cyber‑crime,2022
Vadapalani,Theft / Robbery,2026
Thiruvanmiyur,Chain Snatching / Theft,2022
Perambur,Theft / Robbery,2022
T Nagar,Rape / Sexual Assault,2024
Anna Nagar,Harassment / Cyber‑crime,2025
Ashok Nagar,Assault / Attack,2021
Teynampet,Chain Snatching / Theft,2026
Perambur,Theft / Robbery,2025
Thiruvanmiyur,Theft / Robbery,2021
Tambaram,Chain Snatching / Theft,2025
Medavakkam,Assault / Attack,2023
Porur,Theft / Robbery,2023
Vadapalani,Harassment / Cyber‑crime,2025
T Nagar,Assault / Attack,2026
Chromepet,Harassment / Cyber‑crime,2021
Chromepet,Assault / Attack,2023
Mylapore,Chain Snatching / Theft,2023
Anna Nagar,Chain Snatching / Theft,2023
Velachery,Harassment / Cyber‑crime,2023
Ashok Nagar,Rape / Sexual Assault,2020
Besant Nagar,Chain Snatching / Theft,2024
Mylapore,Harassment / Cyber‑crime,2023
Guindy,Harassment / Cyber‑crime,2021
Purasawalkam,Theft / Robbery,2025
Purasawalkam,Chain Snatching / Theft,2025
Kodambakkam,Harassment / Cyber‑crime,2023
Egmore,Rape / Sexual Assault,2022
Purasawalkam,Assault / Attack,2024
Mambalam,Chain Snatching / Theft,2022
Mylapore,Murder,2022
Thiruvanmiyur,Other Crime,2025
Ashok Nagar,Harassment / Cyber‑crime,2020
Guindy,Harassment / Cyber‑crime,2020
Saidapet,Theft / Robbery,2020
Egmore,Theft / Robbery,2021
Velachery,Chain Snatching / Theft,2020
Medavakkam,Theft / Robbery,2026
Thiruvanmiyur,Kidnapping / Abduction,2022
Porur,Theft / Robbery,2021
Ashok Nagar,Rape / Sexual Assault,2022
Vadapalani,Murder,2026
Anna Nagar,Assault / Attack,2024
Adyar,Other Crime,2023
Egmore,Theft / Robbery,2025
Saidapet,Theft / Robbery,2023
Adyar,Theft / Robbery,2022
Perambur,Assault / Attack,2022
Anna Nagar,Assault / Attack,2023
Nungambakkam,Chain Snatching / Theft,2022
Perambur,Assault / Attack,2024
Besant Nagar,Assault / Attack,2022
Saidapet,Rape / Sexual Assault,2024
Chetpet,Other Crime,2020
Velachery,Theft / Robbery,2021
Purasawalkam,Rape / Sexual Assault,2023
Pallavaram,Harassment / Cyber‑crime,2026
Anna Nagar,Assault / Attack,2023
Alandur,Assault / Attack,2024
Besant Nagar,Assault / Attack,2022
Koyambedu,Kidnapping / Abduction,2021
Thiruvanmiyur,Theft / Robbery,2020
Chetpet,Chain Snatching / Theft,2022
Besant Nagar,Harassment / Cyber‑crime,2021
Chetpet,Assault / Attack,2021
Saidapet,Assault / Attack,2025
